GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,ZooBuildSwitch,317,0,22,0,71,0,17,0,6,0
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,OpenTopVehicles,18,51,0,0,5,17,1,9,1,9
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,OverLandTrucks,18,55,0,0,6,20,1,11,1,11
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,Helicopter,20,69,0,0,6,24,1,12,1,12
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,ZooCheckFiles,206,0,12,0,55,0,16,0,10,0
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,Bus,18,54,0,0,6,20,1,11,1,11
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,ElectricCars,0,62,0,0,0,21,0,10,0,10
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,Bicycle,18,50,0,0,5,17,1,9,1,9
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,VehicleColor,0,33,0,0,0,6,0,1,0,1
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,ZooRentalVehiclesWebApp,5,3,0,0,2,1,1,1,1,1
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,RentalLightVehicles,12,27,0,0,4,10,4,1,4,1
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,RentalHeavyVehicles,9,21,0,0,3,8,3,1,3,1
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,ZooRentalIndexController,66,3,0,0,21,1,7,1,7,1
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,LuxuryBoatSafari,17,62,0,0,5,21,1,11,1,11
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,SpeedBoat,16,69,0,0,5,24,1,11,1,11
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,FuelType,0,33,0,0,0,6,0,1,0,1
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,JetBoat,18,58,0,0,6,21,1,10,1,10
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,Airplane,19,65,0,0,6,23,1,12,1,12
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,Train,17,62,0,0,5,21,1,11,1,11
ZooRentalVehiclesApp,edu.nwmissouri.teambearcats,FuelCars,0,62,0,0,0,21,0,10,0,10
